,Unnamed: 0,rank,name,headquarter,category,description,link,year
19,19,20,Sygnum Bank AG,Zurich,Fintech,Digital asset specialist with global reach,https://www.top100startups.swiss/Sygnum,2022
20,20,21,AgroSustain SA,Renens,Foodtech,AgroSustain – a one-stop-shop solution for biological plant,https://www.top100startups.swiss/AgroSustain,2022
21,21,22,Archlet AG,Zürich,ICT,Cloud-based AI and data-backed strategic sourcing platform,https://www.top100startups.swiss/Archlet,2022
22,22,23,neon Switzerland AG,Zürich,Fintech,Mobile Banking solution,https://www.top100startups.swiss/Neon,2022
23,23,24,Nanoleq AG,Rümlang,Engineering,The future of health-monitoring textiles,https://www.top100startups.swiss/Nanoleq,2022
24,24,25,Unique AG,Zürich,ICT,Sales Intelligence Platform,https://www.top100startups.swiss/Unique,2022
25,25,26,Voliro AG,Zürich,Robotics,Aerial robots for in-depth inspection and maintenance,https://www.top100startups.swiss/Voliro,2022
26,26,27,IMburse AG,Zurich,Fintech,Integration-free access to global payments ecosystem,https://www.top100startups.swiss/IMburse,2022
27,27,28,DePoly SA,Sion,Cleantech,Closing the loop on PET plastic recycling,https://www.top100startups.swiss/DePoly,2022
28,28,29,EraCal Therapeutics AG,Schlieren,Biotech,We develop the next generation anti-obesity drug,https://www.top100startups.swiss/EraCal,2022
29,29,30,Anaveon AG,Basel,Biotech,Immunotherapies for cancer,https://www.top100startups.swiss/Anaveon,2022
30,30,31,Skribble AG,Zurich,ICT,Digital signature solution,https://www.top100startups.swiss/Skribble,2022
31,31,32,Tinamu Labs AG,Zürich,Robotics,Automated drone-based indoor monitoring,https://www.top100startups.swiss/Tinamu,2022
32,32,33,Bright Peak Therapeutics AG,Basel,Biotech,Next-generation engineered cytokines,https://www.top100startups.swiss/BrightPeak,2022
33,33,34,Relai AG,Zürich,Fintech,Relai is Europe's easiest Bitcoin app,https://www.top100startups.swiss/Relai,2022
34,34,35,Oculis SA,Lausanne,Biotech,Next Generation of Topical Ophthalmic Treatments,https://www.top100startups.swiss/Oculis,2022
35,35,36,Kitro SA,Zürich,Foodtech,Automatically manage and monitor food waste.,https://www.top100startups.swiss/Kitro,2022
36,36,37,Exnaton AG ,Zürich,Cleantech,The platform for renewable energy and sustainable lifestyles,https://www.top100startups.swiss/Exnaton,2022
37,37,38,TYXIT SA,Yverdon-les-Bains,ICT,Ultra-low latency SaaS platform for musicians and gamers,https://www.top100startups.swiss/TYXIT,2022
38,38,39,Qnami AG,Muttenz,Engineering,The quantum wave,https://www.top100startups.swiss/Qnami,2022
39,39,40,GlycoEra AG,Schlieren,Biotech,Glycobiology and protein degradation,https://www.top100startups.swiss/GlycoEra,2022
40,40,41,STALICLA SA,Geneva,Biotech,Precision medicine for neurodevelopmental disorders,https://www.top100startups.swiss/STALICLA,2022
41,41,42,ArcoScreen SA,Lausanne,Biotech,We screen patients cells to improve drug discovery,https://www.top100startups.swiss/ArcoScreen,2022
42,42,43,hemotune AG,Schlieren,Medtech,Magnetic Blood Purification,https://www.top100startups.swiss/hemotune,2022
43,43,44,Microcaps AG,Schlieren,Engineering,Microencapsulation with Swiss precision,https://www.top100startups.swiss/Microcaps,2022
44,44,45,Tune Insight SA,Lausanne,Security,Data collaborations with federated confidential computing,https://www.top100startups.swiss/Tune,2022
45,45,46,Annaida Technologies SA,Lausanne,Biotech,Non invasive chemical analysis at embryo scale,https://www.top100startups.swiss/Annaida,2022
46,46,47,Sleepiz AG,Zurich,Medtech,Touching lives without touching,https://www.top100startups.swiss/Sleepiz,2022
47,47,48,Anapaya Systems AG,Zurich,Security,Securing and Optimizing Internet Communication,https://www.top100startups.swiss/Anapaya,2022
48,48,49,ZYTLYN TECHNOLOGIES AG,Plan-les-Ouates,ICT,Predictive travel intelligence,https://www.top100startups.swiss/ZYTLYN,2022
49,49,50,Alpian SA,Servette - Petit-Saconnex,Fintech,Innovative Wealth Management,https://www.top100startups.swiss/Alpian,2022
50,50,51,Alentis Therapeutics,Allschwil,Biotech,developing breakthrough treatments for fibrotic diseases,https://www.top100startups.swiss/alentis,2022
51,51,52,Corintis SA,Lausanne,Engineering,Enabling the computing of tomorrow with in chip cooling,https://www.top100startups.swiss/Corintis,2022
52,52,53,Cultivated Biosciences SA,Wädenswil,Foodtech,Production of dairy fats by microbial fermentation.,https://www.top100startups.swiss/Cultivated,2022
53,53,54,Invasight AG,Zürich,Biotech,Advanced targeted therapies for invasive cancers,https://www.top100startups.swiss/Invasight,2022
54,54,55,Positrigo AG,Zurich,Medtech,Cost-effective functional brain imaging for everyone,https://www.top100startups.swiss/Positrigo,2022
55,55,56,Dufour Aerospace AG,Visp,Robotics,Advanced electric aircraft,https://www.top100startups.swiss/DufourAerospace,2022
56,56,57,Resmonics AG,Zurich,Medtech,Unlocking the power of sound for medicine.,https://www.top100startups.swiss/Resmonics,2022
57,57,58,WYTH SA,Lugano,ICT,WYTH is the tool to make Hi-End Hybrid Communities and Event,https://www.top100startups.swiss/WYTH,2022
58,58,59,Miraex SA,Ecublens,Engineering,Photonic sensing and quantum solutions,https://www.top100startups.swiss/Miraex,2022
59,59,60,EBAMed SA,Geneva,Medtech,Non-invasive and automated treatments of heart arrhythmias,https://www.top100startups.swiss/EBAMed,2022
60,60,61,Leva Capital Partners AG,Zürich,Fintech,Private equity investments,https://www.top100startups.swiss/LevaCapital,2022
61,61,62,CYSEC SA,Lausanne,Security,Confidential Computing solution for data in use protection,https://www.top100startups.swiss/CYSEC,2022
62,62,63,Auterion AG,Zürich,Robotics,Open source infrastructure for autonomous robots,https://www.top100startups.swiss/Auterion,2022
63,63,64,LatticeFlow AG,Zürich,ICT,Build and Deploy Trustworthy AI,https://www.top100startups.swiss/LatticeFlow,2022
64,64,65,Adiposs SA,Plan-les-Ouates,Medtech,Imaging Body Fat - Saving Lives,https://www.top100startups.swiss/Adiposs,2022
65,65,66,xFarm Technologies SA,Manno,ICT,xFarm is a digital platform for the Farmers,https://www.top100startups.swiss/xFarm,2022
66,66,67,Imverse SA,Morges,ICT,3D Holograms: real-time volumetric video for telepresence,https://www.top100startups.swiss/Imverse,2022
67,67,68,Luya Foods AG ,Bern,Foodtech,Smart processing for a world without wasted food resources,https://www.top100startups.swiss/Luyafoods,2022
68,68,69,Threatray AG,Biel/Bienne,Security,Code-based threat intelligence and analytics at scale,https://www.top100startups.swiss/threatray,2022
69,69,70,IDUN Technologies AG,Opfikon,Medtech,Enabling the Internet of Humans,https://www.top100startups.swiss/IDUN,2022
70,70,71,CDR-Life AG,Schlieren,Biotech,In CDR-Life we make transformative cancer immunotherapies,https://www.top100startups.swiss/CDR-Life,2022
71,71,72,NextImmune AG,Basel,Biotech,Novel Therapy for Autoimmunity and Organ Transplantation.,https://www.top100startups.swiss/NextImmune,2022
72,72,73,Neurosoft Bioelectronics SA,Geneva,Medtech,Soft implantable electrodes for the nervous system,https://www.top100startups.swiss/Neurosoft,2022
73,73,74,Plastogaz SA,Lausanne,Cleantech,Plastogaz develops advanced plastic recycling technologies,https://www.top100startups.swiss/Plastogaz,2022
74,74,75,Urbio SA,Sion,Proptech,Accelerate your transition to clean energy,https://www.top100startups.swiss/Urbio,2022
75,75,76,Mobyfly SA,Collonges,Cleantech,Zero-emission hydrofoil boats,https://www.top100startups.swiss/Mobyfly,2022
76,76,77,Terapet SA,Satigny,Medtech,Better Dose Control in Proton Therapy For Cancer Treatment,https://www.top100startups.swiss/Terapet,2022
77,77,78,Synthara AG,Zug,Engineering,AI chips for the edge,https://www.top100startups.swiss/Synthara,2022
78,78,79,Synendos Therapeutics AG,Basel,Biotech,Development of a new class of modulators of the endocannabinoid system,https://www.top100startups.swiss/Synendos,2022
79,79,80,EarlySight SA,Geneva,Medtech,Imaging early signs of retinal diseases years in advance,https://www.top100startups.swiss/EarlySight,2022
80,80,81,Flybotix SA,Renens,Robotics,Doubling flight time of prof. indoor inspection drones,https://www.top100startups.swiss/Flybotix,2022
81,81,82,Nagi Bioscience SA,Ecublens,Biotech,“Organism-on-Chip” technology for drug/chemical screening,https://www.top100startups.swiss/Nagi,2022
82,82,83,SEED Biosciences SA,Epalinges,Biotech,Isolate single cells reliably and cost-effectively,https://www.top100startups.swiss/SEED,2022
83,83,84,Lumendo AG ,Renens,Medtech,Revolutionize dental root canal treatments,https://www.top100startups.swiss/Lumendo,2022
84,84,85,LARGO FILMS SA,Lausanne,ICT,Next generation storytelling,https://www.top100startups.swiss/Largo,2022
85,85,86,LEDCity AG,Zürich,Proptech,The most efficient AI optimized lighting system,https://www.top100startups.swiss/LEDCity,2022
86,86,87,PEROVSKIA SOLAR AG,Aubonne,Cleantech,Enabling a Solar Cell on Every Device,https://www.top100startups.swiss/PEROVSKIA,2022
87,87,88,Correntics GmbH,Zürich,ICT,Climate-risk analytics for global supply chains.,https://www.top100startups.swiss/Correntics,2022
88,88,89,rready AG,Zürich,ICT,Turnkey B2B SaaS products for employee driven innovation,https://www.top100startups.swiss/rready,2022
89,89,90,matriq AG,St. Gallen,Engineering,The unique individual watermark for plastics products,https://www.top100startups.swiss/matriq,2022
90,90,91,Terra Quantum AG,St. Gallen,ICT,Deeptech applications based on quantum computing,https://www.top100startups.swiss/TerraQuantum,2022
91,91,92,Swiss Organic Partners AG,Mönchaltorf,Foodtech,High Quality Swiss Organic CBD,https://www.top100startups.swiss/SwissOrganic,2022
92,92,93,Impaakt SA,Plan-les-Ouates,Fintech,Measuring the impact of businesses. Together.,https://www.top100startups.swiss/Impaakt,2022
93,93,94,Energy Vault SA ,Lugano,Cleantech,Concrete energy storage technology,https://www.top100startups.swiss/EnergyVault,2022
94,94,95,Oxygen at Work AG ,Zurich,Proptech,Creating healthy spaces for humans and the environment.,https://www.top100startups.swiss/Oxygen,2022
95,95,96,Biospectal SA,Lausanne,Medtech,The Optical Revolution in Blood Pressure Management,https://www.top100startups.swiss/Biospectal,2022
96,96,97,Talent Maps AG (CoffeeCall),St Gallen,ICT,Informal breaks in your hybrid workplace,https://www.top100startups.swiss/CoffeeCall,2022
97,97,98,CareerFairy AG,Zürich,ICT,Twitch for Graduate Careers,https://www.top100startups.swiss/CareerFairy,2022
98,98,99,Visium SA,Lausanne,ICT,AI EnterpriseTech Tailored Solutions and SaaS Company,https://www.top100startups.swiss/Visium,2022
99,99,100,The Food Detective SA,Geneva,Foodtech,We make restaurants lives much easier.,https://www.top100startups.swiss/Foodetective,2022
0,0,1,Planted Foods AG,Kemptthal,Foodtech,Planted meats,https://www.top100startups.swiss/Planted,2021
1,1,2,CUTISS AG,Schlieren,Biotech,Personalized skin,https://www.top100startups.swiss/CUTISS,2021
2,2,3,9T Labs AG,Zürich,Engineering,3D carbon fiber printing technology,https://www.top100startups.swiss/9T,2021
3,3,4,CREAL SA,Ecublens,Engineering,Enabling Augmented Reality within arm's reach,https://www.top100startups.swiss/CREAL,2021
4,4,5,Carvolution AG,Bannwil,ICT,Car Subscription Model for Switzerland,https://www.top100startups.swiss/Carvolution,2021
5,5,6,Piavita AG,Zürich,Medtech,Daily assistant for equine veterinarians,https://www.top100startups.swiss/Piavita,2021
6,6,7,Wingtra AG,Zürich,Robotics,"Fly like an airplane, take-off and land like a helicopter",https://www.top100startups.swiss/Wingtra,2021
7,7,8,AgroSustain SA,Renens,Foodtech,AgroSustain – a one-stop-shop solution for biological plant,https://www.top100startups.swiss/AgroSustain,2021
8,8,9,Resistell AG,Muttenz,Medtech,Revolutionary alternative for antibiotic susceptibility testing,https://www.top100startups.swiss/Resistell,2021
9,9,10,Exeon Analytics AG,Zürich,Security,Exeon Analytics detects hidden cyber threats,https://www.top100startups.swiss/Exeon,2021
10,10,11,Araris Biotech AG,Au,Biotech,Building tomorrow's antibody-drug conjugates (ADCs),https://www.top100startups.swiss/Araris,2021
11,11,12,Volumina Medical SA,Epalinges,Medtech,Dynamic biomaterials for reconstructive and plastic surgery,https://www.top100startups.swiss/Volumina,2021
12,12,13,Ledgy AG,Zürich,ICT,Your equity set for growth,https://www.top100startups.swiss/Ledgy-AG,2021
13,13,14,HAYA Therapeutics SA,Epalinges,Biotech,Treating heart failure through innovative RNA-therapies,https://www.top100startups.swiss/HAYA,2021
14,14,15,ANYbotics AG,Zürich,Robotics,Autonomous robots for industrial inspection,https://www.top100startups.swiss/ANYbotics,2021
15,15,16,yamo AG,Zug,Foodtech,Good Food for Kids. Made easy with yamo.,https://www.top100startups.swiss/yamo,2021
16,16,17,TOLREMO therapeutics AG,Muttenz,Biotech,Development of resistance-breaking cancer therapies,https://www.top100startups.swiss/TOLREMO,2021
17,17,18,Bloom Biorenewables SA,Marly,Cleantech,Making biomass a true alternative to petroleum,https://www.top100startups.swiss/Bloom,2021
18,18,19,DePoly SA,Sion,Cleantech,Closing the loop on PET plastic recycling,https://www.top100startups.swiss/DePoly,2021
19,19,20,Yokoy Group AG,Zurich,Fintech,Your expenses and company credit cards on autopilot,https://www.top100startups.swiss/yokoy,2021
20,20,21,Futurae Technologies AG,Zurich,Security,Secure Authentication for users has never been easier,https://www.top100startups.swiss/Futurae,2021
21,21,22,Miraex SA,Ecublens,Engineering,Photonic sensing and quantum solutions,https://www.top100startups.swiss/Miraex,2021
22,22,23,neon Switzerland AG,Zürich,Fintech,Mobile Banking solution,https://www.top100startups.swiss/Neon,2021
23,23,24,Skribble AG,Zurich,ICT,Digital signature solution,https://www.top100startups.swiss/Skribble,2021
24,24,25,inyova AG,Zurich,Fintech,We create a more sustainable world through investing,https://www.top100startups.swiss/Inyova,2021
25,25,26,IDUN Technologies AG,Opfikon,Medtech,Enabling the Internet of Humans,https://www.top100startups.swiss/IDUN,2021
26,26,27,Sygnum Bank AG,Zurich,Fintech,Digital asset specialist with global reach,https://www.top100startups.swiss/Sygnum,2021
27,27,28,Microcaps AG,Zurich-Schlieren,Engineering,Microencapsulation at Swiss Precision,https://www.top100startups.swissindex.cfm?CFID=72313628&CFTOKEN=b25424f255d2862f-57043D28-C7D9-9B77-739FB33ACE36FC5F&page=136348&profil_id=18261,2021
28,28,29,Neural Concept SA,Lausanne,ICT,Optimizing engineering processes,https://www.top100startups.swiss/Neural,2021
29,29,30,MOBBOT SA,Fribourg,Proptech,Mobile 3D concrete printing systems,https://www.top100startups.swiss/MOBBOT,2021
30,30,31,Perseo pharma AG,Muttenz,Biotech,Metabolic Therapies,https://www.top100startups.swiss/Perseo,2021
31,31,32,PriceHubble AG,Zürich,Proptech,Big data and artificial intelligence for real estate markets,https://www.top100startups.swiss/PriceHubble,2021
32,32,33,dq technologies AG (Decentriq),Zürich,Security,Data clean rooms powered by confidential computing,https://www.top100startups.swiss/Decentriq,2021
33,33,34,EraCal Therapeutics AG,Schlieren,Biotech,We develop the next generation anti-obesity drug,https://www.top100startups.swiss/EraCal,2021
34,34,35,flowbone SA,Lausanne,Medtech,Restoring hip strength to resist breaking,https://www.top100startups.swiss/flowbone,2021
35,35,36,Annaida Technologies SA,Lausanne,Biotech,Non invasive chemical analysis at embryo scale,https://www.top100startups.swiss/Annaida,2021
36,36,37,hemotune AG,Schlieren,Medtech,Magnetic Blood Purification,https://www.top100startups.swiss/hemotune,2021
37,37,38,Nanoleq AG,Rümlang,Engineering,The future of health-monitoring textiles,https://www.top100startups.swiss/Nanoleq,2021
38,38,39,Haelixa AG,Kemptthal,Biotech,Reliable product identification through DNA technology,https://www.top100startups.swiss/Haelixa,2021
39,39,40,aktiia SA,Neuchatel,Medtech,Reinventing Blood Pressure Monitoring,https://www.top100startups.swiss/aktiia,2021
40,40,41,Qnami AG,Muttenz,Engineering,The quantum wave,https://www.top100startups.swiss/Qnami,2021
41,41,42,PXL Vision AG ,Zürich,Security,Scalable software platform for secure identity verification,https://www.top100startups.swiss/PXL,2021
42,42,43,LuckaBox Logistics AG,Winterthur,ICT,SAAS Last Mile Digital Forwarder for Enterprises,https://www.top100startups.swiss/LuckaBox,2021
43,43,44,matriq AG,St. Gallen,Engineering,The unique individual watermark for plastics products,https://www.top100startups.swiss/matriq,2021
44,44,45,Artiria Medical SA,Borex,Medtech,"We fight stroke, we save lives",https://www.top100startups.swiss/Artiria,2021
45,45,46,Tinamu Labs AG,Zürich,Robotics,Automated drone-based indoor monitoring,https://www.top100startups.swiss/Tinamu,2021
46,46,47,LIFEMATRIX TECHNOLOGIES AG,Zürich,Medtech,LifeMatrix - Biomimetic Solutions for Life,https://www.top100startups.swiss/LifeMatrix,2021
47,47,48,Taurus SA,Geneva,Fintech,Swiss digital asset custody solution,https://www.top100startups.swiss/Taurus,2021
48,48,49,Dufour Aerospace AG,Visp,Robotics,Advanced electric aircraft,https://www.top100startups.swiss/DufourAerospace,2021
49,49,50,Numab Therapeutics AG,Wädenswil,Biotech,Innovates and develops antibody-based therapeutics,https://www.top100startups.swiss/Numab,2021
50,50,51,Gmelius SA,Cointrin,ICT,Gmelius transforms Gmail into your company's workspace,https://www.top100startups.swiss/Gmelius,2021
51,51,52,MaxWell Biosystems AG,Zurich,Biotech,High-Content electrophysiology platforms,https://www.top100startups.swiss/MaxWell,2021
52,52,53,Scewo AG,Winterthur,Medtech,Stair climbing wheelchair,https://www.top100startups.swiss/scewo,2021
53,53,54,Versameb AG ,Basel,Biotech,The next generation of RNA therapeutics,https://www.top100startups.swiss/Versameb,2021
54,54,55,Adiposs SA,Plan-les-Ouates,Medtech,Imaging Body Fat - Saving Lives,https://www.top100startups.swiss/Adiposs,2021
55,55,56,Terapet SA,Satigny,Medtech,Better Dose Control in Proton Therapy For Cancer Treatment,https://www.top100startups.swiss/Terapet,2021
56,56,57,Alentis Therapeutics,Allschwil,Biotech,developing breakthrough treatments for fibrotic diseases,https://www.top100startups.swiss/alentis,2021
57,57,58,Threatray AG,Biel/Bienne,Security,Code-based threat intelligence and analytics at scale,https://www.top100startups.swiss/threatray,2021
58,58,59,Daphne Technology SA,St-Sulpice VD,Cleantech,Climate tech comp reducing toxic pollutants & GHG emissions,https://www.top100startups.swiss/Daphne,2021
59,59,60,Auterion AG,Zürich,Robotics,Open source infrastructure for autonomous robots,https://www.top100startups.swiss/Auterion,2021
60,60,61,Plastogaz SA,Lausanne,Cleantech,Plastogaz develops advanced plastic recycling technologies,https://www.top100startups.swiss/Plastogaz,2021
61,61,62,Dotphoton AG,Zug,ICT,Reliable image data for critical applications and AI,https://www.top100startups.swiss/Dotphoton,2021
62,62,63,Imverse SA,Morges,ICT,3D Holograms: real-time volumetric video for telepresence,https://www.top100startups.swiss/Imverse,2021
63,63,64,Eyeware Tech SA,Martigny,ICT,Attention Sensing with 3D Eye Tracking,https://www.top100startups.swiss/Eyeware,2021
64,64,65,Altoida AG,Luzern,Medtech,Join us on our noble mission to better brain health,https://www.top100startups.swiss/Altoida,2021
65,65,66,TWIICE SA,Lausanne,Medtech,Powered exoskeletons for walking assistance,https://www.top100startups.swiss/TWIICE,2021
66,66,67,LatticeFlow AG,Zürich,ICT,Build and Deploy Trustworthy AI,https://www.top100startups.swiss/LatticeFlow,2021
67,67,68,Voliro AG,Zürich,Robotics,Aerial robots for in-depth inspection and maintenance,https://www.top100startups.swiss/Voliro,2021
68,68,69,Synthara AG,Zug,Engineering,AI chips for the edge,https://www.top100startups.swiss/Synthara,2021
69,69,70,ClearSpace SA,Renens,Cleantech,Remove failed satellites and space debris,https://www.top100startups.swiss/ClearSpace,2021
70,70,71,RetinAI Medical AG,Bern,Medtech,We enable the right decisions sooner in healthcare,https://www.top100startups.swiss/RetinAI,2021
71,71,72,Synendos Therapeutics AG,Basel,Biotech,Development of a new class of modulators of the endocannabinoid system,https://www.top100startups.swiss/Synendos,2021
72,72,73,CYSEC SA,Lausanne,Security,Confidential Computing solution for data in use protection,https://www.top100startups.swiss/CYSEC,2021
73,73,74,NEMIS TECHNOLOGIES AG,Dübendorf,Biotech,Breakthrough technology transforms the diagnostic market,https://www.top100startups.swiss/NEMIS,2021
74,74,75,Anapaya Systems AG,Zurich,Security,Securing and Optimizing Internet Communication,https://www.top100startups.swiss/Anapaya,2021
75,75,76,BitsaboutMe AG,Bern,ICT,Marketplace for saving and trading personal data,https://www.top100startups.swiss/BitsaboutMe,2021
76,76,77,VAY AG,Zürich,ICT,Making computers understand human motion,https://www.top100startups.swiss/VAY,2021
77,77,78,Flybotix SA,Renens,Robotics,Doubling flight time of prof. indoor inspection drones,https://www.top100startups.swiss/Flybotix,2021
78,78,79,Assaia International AG,Zurich,ICT,Making airport operations more efficient and predictable,https://www.top100startups.swiss/Assaia,2021
79,79,80,SwissDeCode SA,Lausanne,Foodtech,Secure and Build Trust in the Global Food Supply Chain,https://www.top100startups.swiss/SwissDeCode,2021
80,80,81,Embion Technologies SA,Etoy,Biotech,Platform technology for industrial biomass processing,https://www.top100startups.swiss/Embion,2021
81,81,82,INERGIO Technologies SA,Lausanne,Engineering,Green ALPS - Green Autonomous Lightweight Power Systems,https://www.top100startups.swiss/INERGIO,2021
82,82,83,Capskin AG,Zürich,Engineering,Capskin - Sensor socks for better footwear,https://www.top100startups.swissindex.cfm?CFID=72313628&CFTOKEN=b25424f255d2862f-57043D28-C7D9-9B77-739FB33ACE36FC5F&page=136348&profil_id=31198,2021
83,83,84,EarlySight SA,Geneva,Medtech,Imaging early signs of retinal diseases years in advance,https://www.top100startups.swiss/EarlySight,2021
84,84,85,CompPair Technologies SA,Lausanne,Engineering,Healable and sustainable composites to improve circularity,https://www.top100startups.swiss/CompPair,2021
85,85,86,legartis technology AG,Zürich,ICT,Analyse your contracts in seconds,https://www.top100startups.swiss/Legartis,2021
86,86,87,Fixposition AG,Schlieren,Robotics,Precise Positioning Everywhere.,https://www.top100startups.swiss/Fixposition,2021
87,87,88,Archilyse AG,Zürich,Proptech,Archilyse.one makes your plans smart,https://www.top100startups.swiss/Archilyse,2021
88,88,89,GRZ Technologies AG,Grolley,Cleantech,Metal hydride hydrogen storage solution,https://www.top100startups.swiss/GRZ,2021
89,89,90,ALAYA SA ,Gland,ICT,Corporate Social Responsibility platform,https://www.top100startups.swiss/ALAYA,2021
90,90,91,AVAtronics SA,Lausanne,Engineering,Wideband Active Noise Cancellation (Hearables & Automotive),https://www.top100startups.swiss/AVAtronics,2021
91,91,92,Talent Maps AG (CoffeeCall),St Gallen,ICT,Informal breaks in your hybrid workplace,https://www.top100startups.swiss/CoffeeCall,2021
92,92,93,ImmoZins AG,Zürich,Proptech,Invest in Real Estate,https://www.top100startups.swiss/ImmoZins,2021
93,93,94,Limula SA,1066 Épalinges,Biotech,Cell and Gene Therapy Made Easy,https://www.top100startups.swiss/Limula,2021
94,94,95,Urbio SA,Sion,Proptech,Accelerate your transition to clean energy,https://www.top100startups.swiss/Urbio,2021
95,95,96,Oxara AG,Dietikon,Proptech,Enabling sustainable construction and affordable housing,https://www.top100startups.swiss/Oxara,2021
96,96,97,IMburse AG,Zurich,Fintech,Integration-free access to global payments ecosystem,https://www.top100startups.swiss/IMburse,2021
97,97,98,Scailyte AG,Basel,Biotech,Extracting knowledge from single-cell data to save lives,https://www.top100startups.swiss/Scailyte,2021
98,98,99,Workspace2go AG ,Zürich,Proptech,Marketplace for meeting rooms & workshop locations,https://www.top100startups.swiss/Workspace2go,2021
99,99,100,SONECT AG,Zürich,Fintech,"Through Sonect, every store becomes an ATM",https://www.top100startups.swiss/SONECT,2021
0,0,1,CUTISS AG,Schlieren,Biotech,Personalized skin,https://www.top100startups.swiss/CUTISS,2020
1,1,2,Wingtra AG,Zürich,Robotics,"Fly like an airplane, take-off and land like a helicopter",https://www.top100startups.swiss/Wingtra,2020
2,2,3,Piavita AG,Zürich,Medtech,Daily assistant for equine veterinarians,https://www.top100startups.swiss/Piavita,2020
3,3,4,Exeon Analytics AG,Zürich,Security,Exeon Analytics detects hidden cyber threats,https://www.top100startups.swiss/Exeon,2020
4,4,5,Versantis AG,Zürich,Biotech,Conquer liver diseases and saves lives,https://www.top100startups.swiss/Versantis,2020
5,5,6,9T Labs AG,Zürich,Engineering,3D carbon fiber printing technology,https://www.top100startups.swiss/9T,2020
6,6,7,Gamaya SA,Morges,Robotics,Digital agronomy solutions for large farming businesses,https://www.top100startups.swiss/Gamaya,2020
7,7,8,Resistell AG,Muttenz,Medtech,Revolutionary alternative for antibiotic susceptibility testing,https://www.top100startups.swiss/Resistell,2020
8,8,9,CREAL SA,Ecublens,Engineering,Enabling Augmented Reality within arm's reach,https://www.top100startups.swiss/CREAL,2020
9,9,10,Insolight SA,Renens,Cleantech,Solar modules designed for agrivoltaics,https://www.top100startups.swiss/Insolight,2020
10,10,11,Ledgy AG,Zurich,Fintech,Your equity set for growth,https://www.top100startups.swiss/Ledgy,2020
11,11,12,Carvolution AG,Bannwil,ICT,Car Subscription Model for Switzerland,https://www.top100startups.swiss/Carvolution,2020
12,12,13,Araris Biotech AG,Au,Biotech,Building tomorrow's antibody-drug conjugates (ADCs),https://www.top100startups.swiss/Araris,2020
13,13,14,AgroSustain SA,Renens,Foodtech,AgroSustain – a one-stop-shop solution for biological plant,https://www.top100startups.swiss/AgroSustain,2020
14,14,15,TOLREMO therapeutics AG,Muttenz,Biotech,Development of resistance-breaking cancer therapies,https://www.top100startups.swiss/TOLREMO,2020
15,15,16,Crypto Finance AG,Zug,Fintech,Transforming financial services,https://www.top100startups.swiss/CryptoFinance,2020
16,16,17,Eyeware Tech SA,Martigny,ICT,Attention Sensing with 3D Eye Tracking,https://www.top100startups.swiss/Eyeware,2020
