rank;name;headquarter;category;description;link;year;plz;kanton;lan;lon
36;Kitro SA;ZÃ¼rich;Foodtech;Automatically manage and monitor food waste.;https://www.top100startups.swiss/Kitro;2022;8002;ZH;8.532739248;47.36007156
37;Exnaton AG ;ZÃ¼rich;Cleantech;The platform for renewable energy and sustainable lifestyles;https://www.top100startups.swiss/Exnaton;2022;8002;ZH;8.532739248;47.36007156
38;TYXIT SA;Yverdon-les-Bains;ICT;Ultra-low latency SaaS platform for musicians and gamers;https://www.top100startups.swiss/TYXIT;2022;1400;VD;6.638517507;46.77623872
39;Qnami AG;Muttenz;Engineering;The quantum wave;https://www.top100startups.swiss/Qnami;2022;4132;BL;7.648057403;47.52338801
40;GlycoEra AG;Schlieren;Biotech;Glycobiology and protein degradation;https://www.top100startups.swiss/GlycoEra;2022;8952;ZH;8.449001596;47.39503416
41;STALICLA SA;Geneva;Biotech;Precision medicine for neurodevelopmental disorders;https://www.top100startups.swiss/STALICLA;2022;1208;GE;6.167579743;46.19844394
42;ArcoScreen SA;Lausanne;Biotech;We screen patients cells to improve drug discovery;https://www.top100startups.swiss/ArcoScreen;2022;1011;VD;6.643319582;46.52555634
43;hemotune AG;Schlieren;Medtech;Magnetic Blood Purification;https://www.top100startups.swiss/hemotune;2022;8952;ZH;8.449001596;47.39503416
44;Microcaps AG;Schlieren;Engineering;Microencapsulation with Swiss precision;https://www.top100startups.swiss/Microcaps;2022;8952;ZH;8.449001596;47.39503416
45;Tune Insight SA;Lausanne;Security;Data collaborations with federated confidential computing;https://www.top100startups.swiss/Tune;2022;1011;VD;6.643319582;46.52555634
46;Annaida Technologies SA;Lausanne;Biotech;Non invasive chemical analysis at embryo scale;https://www.top100startups.swiss/Annaida;2022;1011;VD;6.643319582;46.52555634
47;Sleepiz AG;Zurich;Medtech;Touching lives without touching;https://www.top100startups.swiss/Sleepiz;2022;8001;ZH;8.541734555;47.37208749
48;Anapaya Systems AG;Zurich;Security;Securing and Optimizing Internet Communication;https://www.top100startups.swiss/Anapaya;2022;8001;ZH;8.541734555;47.37208749
49;ZYTLYN TECHNOLOGIES AG;Plan-les-Ouates;ICT;Predictive travel intelligence;https://www.top100startups.swiss/ZYTLYN;2022;1228;GE;6.118033239;46.16415897
50;Alpian SA;Geneva;Fintech;Innovative Wealth Management;https://www.top100startups.swiss/Alpian;2022;1208;GE;6.167579743;46.19844394
51;Alentis Therapeutics;Allschwil;Biotech;developing breakthrough treatments for fibrotic diseases;https://www.top100startups.swiss/alentis;2022;4123;BL;7.53749744;47.54504996
52;Corintis SA;Lausanne;Engineering;Enabling the computing of tomorrow with in chip cooling;https://www.top100startups.swiss/Corintis;2022;1011;VD;6.643319582;46.52555634
53;Cultivated Biosciences SA;Wädenswil;Foodtech;Production of dairy fats by microbial fermentation.;https://www.top100startups.swiss/Cultivated;2022;8820;ZH;8.65959802;47.22388408
54;Invasight AG;ZÃ¼rich;Biotech;Advanced targeted therapies for invasive cancers;https://www.top100startups.swiss/Invasight;2022;8002;ZH;8.532739248;47.36007156
55;Positrigo AG;Zurich;Medtech;Cost-effective functional brain imaging for everyone;https://www.top100startups.swiss/Positrigo;2022;8001;ZH;8.541734555;47.37208749
56;Dufour Aerospace AG;Visp;Robotics;Advanced electric aircraft;https://www.top100startups.swiss/DufourAerospace;2022;3930;VS;7.866951252;46.29120902
57;Resmonics AG;Zurich;Medtech;Unlocking the power of sound for medicine.;https://www.top100startups.swiss/Resmonics;2022;8001;ZH;8.541734555;47.37208749
58;WYTH SA;Lugano;ICT;WYTH is the tool to make Hi-End Hybrid Communities and Event;https://www.top100startups.swiss/WYTH;2022;6900;TI;8.95447212;46.00539321
59;Miraex SA;Ecublens;Engineering;Photonic sensing and quantum solutions;https://www.top100startups.swiss/Miraex;2022;1024;VD;6.55861492;46.52883079
60;EBAMed SA;Geneva;Medtech;Non-invasive and automated treatments of heart arrhythmias;https://www.top100startups.swiss/EBAMed;2022;1208;GE;6.167579743;46.19844394
61;Leva Capital Partners AG;ZÃ¼rich;Fintech;Private equity investments;https://www.top100startups.swiss/LevaCapital;2022;8002;ZH;8.532739248;47.36007156
62;CYSEC SA;Lausanne;Security;Confidential Computing solution for data in use protection;https://www.top100startups.swiss/CYSEC;2022;1011;VD;6.643319582;46.52555634
63;Auterion AG;ZÃ¼rich;Robotics;Open source infrastructure for autonomous robots;https://www.top100startups.swiss/Auterion;2022;8002;ZH;8.532739248;47.36007156
64;LatticeFlow AG;ZÃ¼rich;ICT;Build and Deploy Trustworthy AI;https://www.top100startups.swiss/LatticeFlow;2022;8002;ZH;8.532739248;47.36007156
65;Adiposs SA;Plan-les-Ouates;Medtech;Imaging Body Fat - Saving Lives;https://www.top100startups.swiss/Adiposs;2022;1228;GE;6.118033239;46.16415897
66;xFarm Technologies SA;Manno;ICT;xFarm is a digital platform for the Farmers;https://www.top100startups.swiss/xFarm;2022;6928;TI;8.91939481;46.03078205
67;Imverse SA;Morges;ICT;3D Holograms: real-time volumetric video for telepresence;https://www.top100startups.swiss/Imverse;2022;1110;VD;6.505456761;46.49496333
68;Luya Foods AG ;Bern;Foodtech;Smart processing for a world without wasted food resources;https://www.top100startups.swiss/Luyafoods;2022;3004;BE;7.450025042;46.97530372
69;Threatray AG;Biel/Bienne;Security;Code-based threat intelligence and analytics at scale;https://www.top100startups.swiss/threatray;2022;2502;BE;7.247254526;47.14889206
70;IDUN Technologies AG;Opfikon;Medtech;Enabling the Internet of Humans;https://www.top100startups.swiss/IDUN;2022;8152;ZH;8.580766814;47.43106872
71;CDR-Life AG;Schlieren;Biotech;In CDR-Life we make transformative cancer immunotherapies;https://www.top100startups.swiss/CDR-Life;2022;8952;ZH;8.449001596;47.39503416
72;NextImmune AG;Basel;Biotech;Novel Therapy for Autoimmunity and Organ Transplantation.;https://www.top100startups.swiss/NextImmune;2022;4051;BS;7.586450708;47.55404534
73;Neurosoft Bioelectronics SA;Geneva;Medtech;Soft implantable electrodes for the nervous system;https://www.top100startups.swiss/Neurosoft;2022;1208;GE;6.167579743;46.19844394
74;Plastogaz SA;Lausanne;Cleantech;Plastogaz develops advanced plastic recycling technologies;https://www.top100startups.swiss/Plastogaz;2022;1011;VD;6.643319582;46.52555634
75;Urbio SA;Sion;Proptech;Accelerate your transition to clean energy;https://www.top100startups.swiss/Urbio;2022;1950;VS;7.354727167;46.22725387
76;Mobyfly SA;Collonges;Cleantech;Zero-emission hydrofoil boats;https://www.top100startups.swiss/Mobyfly;2022;1903;VS;7.05593921;46.18035208
77;Terapet SA;Satigny;Medtech;Better Dose Control in Proton Therapy For Cancer Treatment;https://www.top100startups.swiss/Terapet;2022;1242;GE;6.035029067;46.21429648
78;Synthara AG;Zug;Engineering;AI chips for the edge;https://www.top100startups.swiss/Synthara;2022;6300;ZG;8.503484562;47.16850232
79;Synendos Therapeutics AG;Basel;Biotech;Development of a new class of modulators of the endocannabinoid system;https://www.top100startups.swiss/Synendos;2022;4051;BS;7.586450708;47.55404534
80;EarlySight SA;Geneva;Medtech;Imaging early signs of retinal diseases years in advance;https://www.top100startups.swiss/EarlySight;2022;1208;GE;6.167579743;46.19844394
81;Flybotix SA;Renens;Robotics;Doubling flight time of prof. indoor inspection drones;https://www.top100startups.swiss/Flybotix;2022;1020;VD;6.589670167;46.53527951
82;Nagi Bioscience SA;Ecublens;Biotech;â€œOrganism-on-Chipâ€ technology for drug/chemical screening;https://www.top100startups.swiss/Nagi;2022;1024;VD;6.55861492;46.52883079
83;SEED Biosciences SA;Epalinges;Biotech;Isolate single cells reliably and cost-effectively;https://www.top100startups.swiss/SEED;2022;1066;VD;6.668508946;46.55070386
84;Lumendo AG ;Renens;Medtech;Revolutionize dental root canal treatments;https://www.top100startups.swiss/Lumendo;2022;1020;VD;6.589670167;46.53527951
85;LARGO FILMS SA;Lausanne;ICT;Next generation storytelling;https://www.top100startups.swiss/Largo;2022;1011;VD;6.643319582;46.52555634
86;LEDCity AG;ZÃ¼rich;Proptech;The most efficient AI optimized lighting system;https://www.top100startups.swiss/LEDCity;2022;8002;ZH;8.532739248;47.36007156
87;PEROVSKIA SOLAR AG;Aubonne;Cleantech;Enabling a Solar Cell on Every Device;https://www.top100startups.swiss/PEROVSKIA;2022;1170;VD;6.385608603;46.4909628
88;Correntics GmbH;ZÃ¼rich;ICT;Climate-risk analytics for global supply chains.;https://www.top100startups.swiss/Correntics;2022;8002;ZH;8.532739248;47.36007156
89;rready AG;ZÃ¼rich;ICT;Turnkey B2B SaaS products for employee driven innovation;https://www.top100startups.swiss/rready;2022;8002;ZH;8.532739248;47.36007156
90;matriq AG;St. Gallen;Engineering;The unique individual watermark for plastics products;https://www.top100startups.swiss/matriq;2022;9012;SG;9.363594618;47.40957391
91;Terra Quantum AG;St. Gallen;ICT;Deeptech applications based on quantum computing;https://www.top100startups.swiss/TerraQuantum;2022;9012;SG;9.363594618;47.40957391
92;Swiss Organic Partners AG;MÃ¶nchaltorf;Foodtech;High Quality Swiss Organic CBD;https://www.top100startups.swiss/SwissOrganic;2022;8617;ZH;8.721935858;47.31218798
93;Impaakt SA;Plan-les-Ouates;Fintech;Measuring the impact of businesses. Together.;https://www.top100startups.swiss/Impaakt;2022;1228;GE;6.118033239;46.16415897
94;Energy Vault SA ;Lugano;Cleantech;Concrete energy storage technology;https://www.top100startups.swiss/EnergyVault;2022;6900;TI;8.95447212;46.00539321
95;Oxygen at Work AG ;Zurich;Proptech;Creating healthy spaces for humans and the environment.;https://www.top100startups.swiss/Oxygen;2022;8001;ZH;8.541734555;47.37208749
96;Biospectal SA;Lausanne;Medtech;The Optical Revolution in Blood Pressure Management;https://www.top100startups.swiss/Biospectal;2022;1011;VD;6.643319582;46.52555634
97;Talent Maps AG (CoffeeCall);St Gallen;ICT;Informal breaks in your hybrid workplace;https://www.top100startups.swiss/CoffeeCall;2022;9010;SG;9.373557315;47.44186787
98;CareerFairy AG;ZÃ¼rich;ICT;Twitch for Graduate Careers;https://www.top100startups.swiss/CareerFairy;2022;8002;ZH;8.532739248;47.36007156
99;Visium SA;Lausanne;ICT;AI EnterpriseTech Tailored Solutions and SaaS Company;https://www.top100startups.swiss/Visium;2022;1011;VD;6.643319582;46.52555634
100;The Food Detective SA;Geneva;Foodtech;We make restaurants lives much easier.;https://www.top100startups.swiss/Foodetective;2022;1208;GE;6.167579743;46.19844394
1;Planted Foods AG;Kemptthal;Foodtech;Planted meats;https://www.top100startups.swiss/Planted;2021;8310;ZH;8.71155229;47.45743914
2;CUTISS AG;Schlieren;Biotech;Personalized skin;https://www.top100startups.swiss/CUTISS;2021;8952;ZH;8.449001596;47.39503416
3;9T Labs AG;ZÃ¼rich;Engineering;3D carbon fiber printing technology;https://www.top100startups.swiss/9T;2021;8002;ZH;8.532739248;47.36007156
4;CREAL SA;Ecublens;Engineering;Enabling Augmented Reality within arm's reach;https://www.top100startups.swiss/CREAL;2021;1024;VD;6.55861492;46.52883079
5;Carvolution AG;Bannwil;ICT;Car Subscription Model for Switzerland;https://www.top100startups.swiss/Carvolution;2021;4913;BE;7.730333214;47.2385039
6;Piavita AG;ZÃ¼rich;Medtech;Daily assistant for equine veterinarians;https://www.top100startups.swiss/Piavita;2021;8002;ZH;8.532739248;47.36007156
7;Wingtra AG;ZÃ¼rich;Robotics;Fly like an airplane, take-off and land like a helicopter;https://www.top100startups.swiss/Wingtra;2021;8002;ZH;8.532739248;47.36007156
8;AgroSustain SA;Renens;Foodtech;AgroSustain â€“ a one-stop-shop solution for biological plant;https://www.top100startups.swiss/AgroSustain;2021;1020;VD;6.589670167;46.53527951
9;Resistell AG;Muttenz;Medtech;Revolutionary alternative for antibiotic susceptibility testing;https://www.top100startups.swiss/Resistell;2021;4132;BL;7.648057403;47.52338801
10;Exeon Analytics AG;ZÃ¼rich;Security;Exeon Analytics detects hidden cyber threats;https://www.top100startups.swiss/Exeon;2021;8002;ZH;8.532739248;47.36007156
11;Araris Biotech AG;Au SG;Biotech;Building tomorrow's antibody-drug conjugates (ADCs);https://www.top100startups.swiss/Araris;2021;9434;SG;9.638968287;47.42971875
12;Volumina Medical SA;Epalinges;Medtech;Dynamic biomaterials for reconstructive and plastic surgery;https://www.top100startups.swiss/Volumina;2021;1066;VD;6.668508946;46.55070386
13;Ledgy AG;ZÃ¼rich;ICT;Your equity set for growth;https://www.top100startups.swiss/Ledgy-AG;2021;8002;ZH;8.532739248;47.36007156
14;HAYA Therapeutics SA;Epalinges;Biotech;Treating heart failure through innovative RNA-therapies;https://www.top100startups.swiss/HAYA;2021;1066;VD;6.668508946;46.55070386
15;ANYbotics AG;ZÃ¼rich;Robotics;Autonomous robots for industrial inspection;https://www.top100startups.swiss/ANYbotics;2021;8002;ZH;8.532739248;47.36007156
16;yamo AG;Zug;Foodtech;Good Food for Kids. Made easy with yamo.;https://www.top100startups.swiss/yamo;2021;6300;ZG;8.503484562;47.16850232
17;TOLREMO therapeutics AG;Muttenz;Biotech;Development of resistance-breaking cancer therapies;https://www.top100startups.swiss/TOLREMO;2021;4132;BL;7.648057403;47.52338801
18;Bloom Biorenewables SA;Marly;Cleantech;Making biomass a true alternative to petroleum;https://www.top100startups.swiss/Bloom;2021;1723;FR;7.149369422;46.77600316
19;DePoly SA;Sion;Cleantech;Closing the loop on PET plastic recycling;https://www.top100startups.swiss/DePoly;2021;1950;VS;7.354727167;46.22725387
20;Yokoy Group AG;Zurich;Fintech;Your expenses and company credit cards on autopilot;https://www.top100startups.swiss/yokoy;2021;8001;ZH;8.541734555;47.37208749
21;Futurae Technologies AG;Zurich;Security;Secure Authentication for users has never been easier;https://www.top100startups.swiss/Futurae;2021;8001;ZH;8.541734555;47.37208749
22;Miraex SA;Ecublens;Engineering;Photonic sensing and quantum solutions;https://www.top100startups.swiss/Miraex;2021;1024;VD;6.55861492;46.52883079
23;neon Switzerland AG;ZÃ¼rich;Fintech;Mobile Banking solution;https://www.top100startups.swiss/Neon;2021;8002;ZH;8.532739248;47.36007156
24;Skribble AG;Zurich;ICT;Digital signature solution;https://www.top100startups.swiss/Skribble;2021;8001;ZH;8.541734555;47.37208749
25;inyova AG;Zurich;Fintech;We create a more sustainable world through investing;https://www.top100startups.swiss/Inyova;2021;8001;ZH;8.541734555;47.37208749
26;IDUN Technologies AG;Opfikon;Medtech;Enabling the Internet of Humans;https://www.top100startups.swiss/IDUN;2021;8152;ZH;8.580766814;47.43106872
27;Sygnum Bank AG;Zurich;Fintech;Digital asset specialist with global reach;https://www.top100startups.swiss/Sygnum;2021;8001;ZH;8.541734555;47.37208749
28;Microcaps AG;Schlieren;Engineering;Microencapsulation at Swiss Precision;https://www.top100startups.swissindex.cfm?CFID=72313628&CFTOKEN=b25424f255d2862f-57043D28-C7D9-9B77-739FB33ACE36FC5F&page=136348&profil_id=18261;2021;8952;ZH;8.449001596;47.39503416
29;Neural Concept SA;Lausanne;ICT;Optimizing engineering processes;https://www.top100startups.swiss/Neural;2021;1011;VD;6.643319582;46.52555634
30;MOBBOT SA;Fribourg;Proptech;Mobile 3D concrete printing systems;https://www.top100startups.swiss/MOBBOT;2021;1700;FR;7.163625853;46.80665808
31;Perseo pharma AG;Muttenz;Biotech;Metabolic Therapies;https://www.top100startups.swiss/Perseo;2021;4132;BL;7.648057403;47.52338801
32;PriceHubble AG;ZÃ¼rich;Proptech;Big data and artificial intelligence for real estate markets;https://www.top100startups.swiss/PriceHubble;2021;8002;ZH;8.532739248;47.36007156
33;dq technologies AG (Decentriq);ZÃ¼rich;Security;Data clean rooms powered by confidential computing;https://www.top100startups.swiss/Decentriq;2021;8002;ZH;8.532739248;47.36007156
34;EraCal Therapeutics AG;Schlieren;Biotech;We develop the next generation anti-obesity drug;https://www.top100startups.swiss/EraCal;2021;8952;ZH;8.449001596;47.39503416
35;flowbone SA;Lausanne;Medtech;Restoring hip strength to resist breaking;https://www.top100startups.swiss/flowbone;2021;1011;VD;6.643319582;46.52555634
36;Annaida Technologies SA;Lausanne;Biotech;Non invasive chemical analysis at embryo scale;https://www.top100startups.swiss/Annaida;2021;1011;VD;6.643319582;46.52555634
37;hemotune AG;Schlieren;Medtech;Magnetic Blood Purification;https://www.top100startups.swiss/hemotune;2021;8952;ZH;8.449001596;47.39503416
38;Nanoleq AG;RÃ¼mlang;Engineering;The future of health-monitoring textiles;https://www.top100startups.swiss/Nanoleq;2021;8153;ZH;8.528807372;47.44750791
39;Haelixa AG;Kemptthal;Biotech;Reliable product identification through DNA technology;https://www.top100startups.swiss/Haelixa;2021;8310;ZH;8.71155229;47.45743914
40;aktiia SA;Neuchatel;Medtech;Reinventing Blood Pressure Monitoring;https://www.top100startups.swiss/aktiia;2021;2000;NE;6.941331265;46.98844504
41;Qnami AG;Muttenz;Engineering;The quantum wave;https://www.top100startups.swiss/Qnami;2021;4132;BL;7.648057403;47.52338801
42;PXL Vision AG ;ZÃ¼rich;Security;Scalable software platform for secure identity verification;https://www.top100startups.swiss/PXL;2021;8002;ZH;8.532739248;47.36007156
43;LuckaBox Logistics AG;Winterthur;ICT;SAAS Last Mile Digital Forwarder for Enterprises;https://www.top100startups.swiss/LuckaBox;2021;8405;ZH;8.776009743;47.47804737
44;matriq AG;St. Gallen;Engineering;The unique individual watermark for plastics products;https://www.top100startups.swiss/matriq;2021;9012;SG;9.363594618;47.40957391
45;Artiria Medical SA;Borex;Medtech;We fight stroke, we save lives;https://www.top100startups.swiss/Artiria;2021;1277;VD;6.179161369;46.38096311
46;Tinamu Labs AG;ZÃ¼rich;Robotics;Automated drone-based indoor monitoring;https://www.top100startups.swiss/Tinamu;2021;8002;ZH;8.532739248;47.36007156
47;LIFEMATRIX TECHNOLOGIES AG;ZÃ¼rich;Medtech;LifeMatrix - Biomimetic Solutions for Life;https://www.top100startups.swiss/LifeMatrix;2021;8002;ZH;8.532739248;47.36007156
48;Taurus SA;Geneva;Fintech;Swiss digital asset custody solution;https://www.top100startups.swiss/Taurus;2021;1208;GE;6.167579743;46.19844394
49;Dufour Aerospace AG;Visp;Robotics;Advanced electric aircraft;https://www.top100startups.swiss/DufourAerospace;2021;3930;VS;7.866951252;46.29120902
50;Numab Therapeutics AG;Wädenswil;Biotech;Innovates and develops antibody-based therapeutics;https://www.top100startups.swiss/Numab;2021;8820;ZH;8.65959802;47.22388408
51;Gmelius SA;Cointrin;ICT;Gmelius transforms Gmail into your company's workspace;https://www.top100startups.swiss/Gmelius;2021;1216;GE;6.106155763;46.2240128
52;MaxWell Biosystems AG;Zurich;Biotech;High-Content electrophysiology platforms;https://www.top100startups.swiss/MaxWell;2021;8001;ZH;8.541734555;47.37208749
53;Scewo AG;Winterthur;Medtech;Stair climbing wheelchair;https://www.top100startups.swiss/scewo;2021;8405;ZH;8.776009743;47.47804737
54;Versameb AG ;Basel;Biotech;The next generation of RNA therapeutics;https://www.top100startups.swiss/Versameb;2021;4051;BS;7.586450708;47.55404534
55;Adiposs SA;Plan-les-Ouates;Medtech;Imaging Body Fat - Saving Lives;https://www.top100startups.swiss/Adiposs;2021;1228;GE;6.118033239;46.16415897
56;Terapet SA;Satigny;Medtech;Better Dose Control in Proton Therapy For Cancer Treatment;https://www.top100startups.swiss/Terapet;2021;1242;GE;6.035029067;46.21429648
57;Alentis Therapeutics;Allschwil;Biotech;developing breakthrough treatments for fibrotic diseases;https://www.top100startups.swiss/alentis;2021;4123;BL;7.53749744;47.54504996
58;Threatray AG;Biel/Bienne;Security;Code-based threat intelligence and analytics at scale;https://www.top100startups.swiss/threatray;2021;2502;BE;7.247254526;47.14889206
59;Daphne Technology SA;St-Sulpice VD;Cleantech;Climate tech comp reducing toxic pollutants & GHG emissions;https://www.top100startups.swiss/Daphne;2021;1025;VD;6.562644978;46.48549127
60;Auterion AG;ZÃ¼rich;Robotics;Open source infrastructure for autonomous robots;https://www.top100startups.swiss/Auterion;2021;8002;ZH;8.532739248;47.36007156
61;Plastogaz SA;Lausanne;Cleantech;Plastogaz develops advanced plastic recycling technologies;https://www.top100startups.swiss/Plastogaz;2021;1011;VD;6.643319582;46.52555634
62;Dotphoton AG;Zug;ICT;Reliable image data for critical applications and AI;https://www.top100startups.swiss/Dotphoton;2021;6300;ZG;8.503484562;47.16850232
63;Imverse SA;Morges;ICT;3D Holograms: real-time volumetric video for telepresence;https://www.top100startups.swiss/Imverse;2021;1110;VD;6.505456761;46.49496333
64;Eyeware Tech SA;Martigny;ICT;Attention Sensing with 3D Eye Tracking;https://www.top100startups.swiss/Eyeware;2021;1920;VS;7.074542101;46.1094551
65;Altoida AG;Luzern;Medtech;Join us on our noble mission to better brain health;https://www.top100startups.swiss/Altoida;2021;6005;LU;8.313449981;47.03821966
66;TWIICE SA;Lausanne;Medtech;Powered exoskeletons for walking assistance;https://www.top100startups.swiss/TWIICE;2021;1011;VD;6.643319582;46.52555634
67;LatticeFlow AG;ZÃ¼rich;ICT;Build and Deploy Trustworthy AI;https://www.top100startups.swiss/LatticeFlow;2021;8002;ZH;8.532739248;47.36007156
68;Voliro AG;ZÃ¼rich;Robotics;Aerial robots for in-depth inspection and maintenance;https://www.top100startups.swiss/Voliro;2021;8002;ZH;8.532739248;47.36007156
69;Synthara AG;Zug;Engineering;AI chips for the edge;https://www.top100startups.swiss/Synthara;2021;6300;ZG;8.503484562;47.16850232
70;ClearSpace SA;Renens;Cleantech;Remove failed satellites and space debris;https://www.top100startups.swiss/ClearSpace;2021;1020;VD;6.589670167;46.53527951
71;RetinAI Medical AG;Bern;Medtech;We enable the right decisions sooner in healthcare;https://www.top100startups.swiss/RetinAI;2021;3004;BE;7.450025042;46.97530372
72;Synendos Therapeutics AG;Basel;Biotech;Development of a new class of modulators of the endocannabinoid system;https://www.top100startups.swiss/Synendos;2021;4051;BS;7.586450708;47.55404534
73;CYSEC SA;Lausanne;Security;Confidential Computing solution for data in use protection;https://www.top100startups.swiss/CYSEC;2021;1011;VD;6.643319582;46.52555634
74;NEMIS TECHNOLOGIES AG;DÃ¼bendorf;Biotech;Breakthrough technology transforms the diagnostic market;https://www.top100startups.swiss/NEMIS;2021;8600;ZH;8.620237176;47.39367006
75;Anapaya Systems AG;Zurich;Security;Securing and Optimizing Internet Communication;https://www.top100startups.swiss/Anapaya;2021;8001;ZH;8.541734555;47.37208749
