,rank,name,headquarter,category,description,link,year
51,53,RouteRank SA,Lausanne,ICT,IT solutions for travel and mobility,https://www.top100startups.swiss/RouteRank,2011
52,54,Aleva Neurotherapeutics SA,Lausanne,Medtech,Better therapies for neurological diseases,https://www.top100startups.swiss/Aleva,2011
53,55,The Faction Collective,Le Châble,Engineering,"We design, produce and sell premium skis and outerwear",https://www.top100startups.swiss/The-faction,2011
54,56,MESA Imaging AG,Zürich,Engineering,3D time of flight cameras,https://www.top100startups.swiss/MESA,2011
55,57,Imina Technologies SA,Lausanne,Engineering,World's smallest commercial nanomanipulators,https://www.top100startups.swiss/Imina,2011
56,58,Lotaris SA,Yverdon-les-Bains,ICT,A thinking mobile app environment.,https://www.top100startups.swiss/Lotaris,2011
57,59,Searchbox SA,,ICT,Semantic engine software.,https://www.top100startups.swiss/Searchbox,2011
58,60,Enairys Powertech SA,Lausanne,Cleantech,Hydro-pneumatic energy conversion and storage solutions,https://www.top100startups.swiss/Enairys,2011
59,61,picoDRILL SA,Lausanne,Engineering,Technology for micro-machining and processing thin glass,https://www.top100startups.swiss/picoDRILL,2011
60,62,DSwiss AG,Zürich,ICT,Digital safe-deposit boxes,https://www.top100startups.swiss/DSwiss,2011
61,63,Koemei SA ,Martigny,ICT,World’s first cloud based speech recognition solution specifically designed for multiparty conversations,https://www.top100startups.swiss/Koemei,2011
62,64,regenHU SA,Villaz-St-Pierre,Medtech,Solid freeform fabrication technology,https://www.top100startups.swiss/regenHU,2011
63,65,ProteoMediX AG,Schlieren,Biotech,Markers for prostate cancer,https://www.top100startups.swiss/ProteoMediX,2011
64,66,GEROCO SA,Martigny,Cleantech,Helping people managing their home energy consumption,https://www.top100startups.swiss/GEROCO,2011
65,67,Bcomp AG,Fribourg,Cleantech,Superior products from natural fibers,https://www.top100startups.swiss/Bcomp,2011
66,68,Nanotion AG,Zurich,Engineering,Detection of nanoparticles combining scientific research together with its industrial application,https://www.top100startups.swiss/Nanotion,2011
67,69,Millform AG,Zürich,ICT,Gbanga is the game where you walk in the real world to play mixed-reality quests and score virtual points.,https://www.top100startups.swiss/Millform,2011
68,70,connex.io AG,,ICT,Smart address book solution reducing the hassle of managing contact information,https://www.top100startups.swiss/connex_io,2011
69,71,THELKIN GmbH,Winterthur,Medtech,Characterization of orthopaedic implants and other medical devices,https://www.top100startups.swiss/THELKIN,2011
70,72,Virometix AG,Schlieren,Biotech,Vaccines using its Synthetic Virus-Like Particle (SVLP) technology,https://www.top100startups.swiss/Virometix,2011
71,73,compliant concept AG,Fehraltorf,Medtech,New solution for the therapy and prevention of pressure ulcers,https://www.top100startups.swiss/Compliant,2011
72,74,Adoptics AG,Bruegg,Medtech,Novel accommodating intraocular lens (AIOL) to treat cataract and presbyopia.,https://www.top100startups.swiss/Adoptics,2011
73,75,ChromaCon AG (acquired by YMC),Zürich,Biotech,"ChromaCon AG is a biopharmaceutical company providing enabling purification technologies, equipment and services.",https://www.top100startups.swiss/ChromaCon,2011
74,76,Shadow Government AG,Zürich,ICT,Shadow Government is spearheading an entirely new form of social gaming .,https://www.top100startups.swiss/Shadow,2011
75,77,Coguan Group AG,Zug,ICT,Web advertisement management solutions,https://www.top100startups.swiss/Coguan,2011
76,78,Politnetz AG,Zürich,ICT,Closely related idea of using Web 2.0 for politics,https://www.top100startups.swiss/Politnetz,2011
77,79,Run my Accounts AG,Stäfa,Fintech,Online accounting platform,https://www.top100startups.swiss/RunMyAccounts,2011
78,80,Xeltis AG,Zürich,Medtech,Bioabsorbable synthetic heart valves and vascular grafts,https://www.top100startups.swiss/Xeltis,2011
79,81,Advanced Osteotomy Tools - AOT AG,Basel,Medtech,Cutting bones with laser,https://www.top100startups.swiss/AOT,2011
80,82,unblu inc.,Sarnen,ICT,Integrating telephone and online communication,https://www.top100startups.swiss/unblu,2011
81,83,kringlan composites AG,Otelfingen,Engineering,Development of high-performance thermoplastic composites.,https://www.top100startups.swiss/kringlan,2011
82,84,THE ROKKER COMPANY AG,Widnau,Engineering,Protection jeans with innovative textiles,https://www.top100startups.swiss/ROKKER,2011
83,85,Globalance Bank AG,Zürich,Fintech,Swiss private bank that specialises in sustainable investments,https://www.top100startups.swiss/Globalance,2011
84,86,Epithelix Sàrl,Plan-les-Ouates,Biotech,Innovative in vitro respiratory solutions,https://www.top100startups.swiss/Epithelix,2011
85,87,Coatmaster AG,Winterthur,Engineering,Measuring industrial coatings,https://www.top100startups.swiss/Coatmaster,2011
86,88,StereoTools SA,Neuchâtel,Medtech,Guide for needle or electrode placement during stereotactic neurosurgery.,https://www.top100startups.swiss/StereoTools,2011
87,89,Scandit AG,Zürich,ICT,Smart Data Capture,https://www.top100startups.swiss/Scandit,2011
88,90,Paratus AG,Windisch,ICT,Mobile communication based system to preemptively protect people,https://www.top100startups.swiss/Paratus,2011
89,91,Ebuzzing Switzerland AG (Aquired by Teads.tv),Basel,ICT,Distribution platform for  content tailored for brands across all kinds of social media.,https://www.top100startups.swiss/Trigami,2011
90,92,Augurix Diagnostics SA,Monthey,Medtech,"Companion diagnostics devices for gastroenterology, focused mainly on Celiac Disease and IBD",https://www.top100startups.swiss/Augurix,2011
91,93,GeNeuro SA,Plan-les-Ouates,Medtech,Therapy and diagnosis of diseases associated with human endogenous retrovirus expression,https://www.top100startups.swiss/GeNeuro,2011
92,94,42matters AG ,Zurich,ICT,App Intelligence as SaaS,https://www.top100startups.swiss/42matters,2011
93,95,Aeon Scientific AG,Schlieren - Zurich,Medtech,Electromagnetic guidance of medical instruments in the human body,https://www.top100startups.swiss/Aeon,2011
94,96,Qvanteq AG,Zürich,Medtech,Novel stent technologies to address and overcome clinical shortcomings,https://www.top100startups.swiss/Qvanteq,2011
95,97,QGel SA,Lausanne ,Biotech,A novel hydrogel material,https://www.top100startups.swiss/QGel,2011
96,99,Prediggo SA,Vevey,ICT,Intelligent cross selling solutions for eShops.,https://www.top100startups.swiss/Prediggo,2011
97,100,Pearl Technology AG,Schlieren,Medtech,Medical devices to position and immobilize part of the patient's body during medical scanning,https://www.top100startups.swiss/Pearltec,2011
