,rank,name,headquarter,category,description,link,year
88,89,Designergy SA,San Vittore,Cleantech,Building construction material that implements both solar energy exploitation and energy saving functions,https://www.top100startups.swiss/Designergy,2015
89,90,Dealmarket AG ,St. Gallen,Fintech,The global private equity platform,https://www.top100startups.swiss/DealMarket,2015
90,91,Coatmaster AG,Winterthur,Engineering,Measuring industrial coatings,https://www.top100startups.swiss/Coatmaster,2015
91,92,THELKIN GmbH,Winterthur,Medtech,Characterization of orthopaedic implants and other medical devices,https://www.top100startups.swiss/THELKIN,2015
92,93,ONWARD Medical SA,Lausanne,Biotech,Enabling nervous system rewiring,https://www.top100startups.swiss/Onward,2015
93,94,Ava AG,Zürich,Medtech,Ovulation tracking bracelet,https://www.top100startups.swiss/Ava,2015
94,95,imperix SA,Sion,Cleantech,Advanced power conversion solutions,https://www.top100startups.swiss/imperix,2015
95,96,Frontify AG,St. Gallen,ICT,The platform for building powerful brand experience,https://www.top100startups.swiss/Frontify,2015
96,97,KB Medical SA ,Lausanne,Medtech,Robotic system for spinal surgery,https://www.top100startups.swiss/KB,2015
97,98,Helmedica AG,Winterthur,ICT,Mobile electronic health record for documentation and management of patient information,https://www.top100startups.swiss/helmedica,2015
98,99,Meteomatics GmbH,St. Gallen,ICT,Weather data processing,https://www.top100startups.swiss/Meteomatics,2015
99,100,PharmAlp SA,Conthey,Biotech,Develop and market products of natural origin backed-up by sound-science,https://www.top100startups.swiss/PharmAlp,2015
