,rank,name,headquarter,category,description,link,year
34,35,inyova AG,Zurich,Fintech,We create a more sustainable world through investing,https://www.top100startups.swiss/Inyova,2020
35,36,ONWARD Medical SA,Lausanne,Biotech,Enabling nervous system rewiring,https://www.top100startups.swiss/Onward,2020
36,37,Planted Foods AG,Kemptthal,Foodtech,Planted meats,https://www.top100startups.swiss/Planted,2020
37,38,Sevensense Robotics AG,Zürich,Robotics,Visual navigation for the next generation of service robots.,https://www.top100startups.swiss/Sevensense,2020
38,39,Yokoy Group AG,Zurich,Fintech,Your expenses and company credit cards on autopilot,https://www.top100startups.swiss/yokoy,2020
39,40,INVOLI SA,Renens,ICT,Enabling the safe integration of drones into the airspace,https://www.top100startups.swiss/INVOLI,2020
40,41,ANYbotics AG,Zürich,Robotics,Autonomous robots for industrial inspection,https://www.top100startups.swiss/ANYbotics,2020
41,42,Nomoko AG,Zurich,ICT,Creating a digital twin of the world,https://www.top100startups.swiss/Nomoko,2020
42,43,HAYA Therapeutics SA,Epalinges,Biotech,Treating heart failure through innovative RNA-therapies,https://www.top100startups.swiss/HAYA,2020
43,44,Oculis SA,Lausanne,Biotech,Next Generation of Topical Ophthalmic Treatments,https://www.top100startups.swiss/Oculis,2020
44,45,Apiax AG,Zürich,Fintech,Removing barriers with embedded compliance,https://www.top100startups.swiss/Apiax,2020
45,46,Futurae Technologies AG,Zurich,Security,Secure Authentication for users has never been easier,https://www.top100startups.swiss/Futurae,2020
46,47,Microcaps AG,Zurich-Schlieren,Engineering,Microencapsulation at Swiss Precision,https://www.top100startups.swissindex.cfm?CFID=72313628&CFTOKEN=b25424f255d2862f-57043D28-C7D9-9B77-739FB33ACE36FC5F&page=136348&profil_id=18261,2020
47,48,Neural Concept SA,Lausanne,ICT,Optimizing engineering processes,https://www.top100startups.swiss/Neural,2020
48,49,Versameb AG ,Basel,Biotech,The next generation of RNA therapeutics,https://www.top100startups.swiss/Versameb,2020
49,50,Olympe SA,Lausanne,ICT,The best composition platform in the market,https://www.top100startups.swiss/Olympe,2020
50,51,GUURU Solutions AG,Zürich,ICT,Customer Service. Automated and with human touch,https://www.top100startups.swiss/guuru,2020
51,52,T3 Pharmaceuticals AG,Allschwil,Biotech,Developing the next generation bacterial cancer therapy,https://www.top100startups.swiss/T3,2020
52,53,Topadur Pharma AG,Schlieren,Biotech,Disruptive drugs for aging diseases,https://www.top100startups.swiss/Topadur,2020
53,54,Nexxiot AG,Zürich,Engineering,enabler of the digitized supply chain,https://www.top100startups.swiss/Nexxiot,2020
54,55,Voliro AG,Zürich,Robotics,Aerial robots for in-depth inspection and maintenance,https://www.top100startups.swiss/Voliro,2020
55,56,Flybotix SA,Renens,Robotics,Doubling flight time of prof. indoor inspection drones,https://www.top100startups.swiss/Flybotix,2020
56,57,Dufour Aerospace AG,Visp,Robotics,Advanced electric aircraft,https://www.top100startups.swiss/DufourAerospace,2020
57,58,Archilyse AG,Zürich,Proptech,Archilyse.one makes your plans smart,https://www.top100startups.swiss/Archilyse,2020
58,59,MaxWell Biosystems AG,Zurich,Biotech,High-Content electrophysiology platforms,https://www.top100startups.swiss/MaxWell,2020
59,60,Perseo pharma AG,Muttenz,Biotech,Metabolic Therapies,https://www.top100startups.swiss/Perseo,2020
60,61,EraCal Therapeutics AG,Schlieren,Biotech,We develop the next generation anti-obesity drug,https://www.top100startups.swiss/EraCal,2020
61,62,CYSEC SA,Lausanne,Security,Confidential Computing solution for data in use protection,https://www.top100startups.swiss/CYSEC,2020
62,63,Synple Chem AG,Zurich,Biotech,Making synthesis of new molecules as easy as capsule coffee,https://www.top100startups.swiss/Synple,2020
63,64,legartis technology AG,Zürich,ICT,Analyse your contracts in seconds,https://www.top100startups.swiss/Legartis,2020
64,65,AVAtronics SA,Lausanne,Engineering,Wideband Active Noise Cancellation (Hearables & Automotive),https://www.top100startups.swiss/AVAtronics,2020
65,66,Gmelius SA,Cointrin,ICT,Gmelius transforms Gmail into your company's workspace,https://www.top100startups.swiss/Gmelius,2020
66,67,Procsea SA,Lausanne,Foodtech,"A faster, easier and cheaper solution to trade seafood",https://www.top100startups.swiss/Procsea,2020
67,68,xorlab AG,Zürich,Security,Redefining enterprise communication security,https://www.top100startups.swiss/xorlab,2020
68,69,INPHER Sàrl,Lausanne,Security,Cryptographic Secret Computing® technology,https://www.top100startups.swiss/INPHER,2020
69,70,LARGO FILMS SA,Lausanne,ICT,Next generation storytelling,https://www.top100startups.swiss/Largo,2020
70,71,Scailyte AG,Basel,Biotech,Extracting knowledge from single-cell data to save lives,https://www.top100startups.swiss/Scailyte,2020
71,72,Altoida AG,Luzern,Medtech,Join us on our noble mission to better brain health,https://www.top100startups.swiss/Altoida,2020
72,73,Elthera AG,Schlieren,Biotech,Tailored cancer therapies,https://www.top100startups.swiss/Elthera,2020
73,74,Artiria Medical SA,Borex,Medtech,"We fight stroke, we save lives",https://www.top100startups.swiss/Artiria,2020
74,75,Miraex SA,Ecublens,Engineering,Photonic sensing and quantum solutions,https://www.top100startups.swiss/Miraex,2020
75,76,Auterion AG,Zürich,Robotics,Open source infrastructure for autonomous robots,https://www.top100startups.swiss/Auterion,2020
76,77,Instimatch Global AG,Zürich,Fintech,Global P2P Money Market Network,https://www.top100startups.swiss/InstimatchGlobal,2020
77,78,BitsaboutMe AG,Bern,ICT,Marketplace for saving and trading personal data,https://www.top100startups.swiss/BitsaboutMe,2020
78,79,Pregnolia AG,Schlieren,Medtech,Predicting the risk of premature birth,https://www.top100startups.swiss/Pregnolia,2020
79,80,RAW Labs SA,Lausanne,ICT,Empowering enterprises to use their resources wisely,https://www.top100startups.swiss/RAW,2020
80,81,IDUN Technologies AG,Opfikon,Medtech,Enabling the Internet of Humans,https://www.top100startups.swiss/IDUN,2020
81,82,Fixposition AG,Schlieren,Robotics,Precise Positioning Everywhere.,https://www.top100startups.swiss/Fixposition,2020
82,83,SwissDeCode SA,Lausanne,Foodtech,Secure and Build Trust in the Global Food Supply Chain,https://www.top100startups.swiss/SwissDeCode,2020
83,84,TestingTime AG,Zürich,ICT,We recruit test users for user and market research,https://www.top100startups.swiss/TestingTime,2020
84,85,Nagi Bioscience SA,Ecublens,Biotech,“Organism-on-Chip” technology for drug/chemical screening,https://www.top100startups.swiss/Nagi,2020
85,86,Sygnum Bank AG,Zurich,Fintech,Digital asset specialist with global reach,https://www.top100startups.swiss/Sygnum,2020
86,87,Taurus SA,Geneva,Fintech,Swiss digital asset custody solution,https://www.top100startups.swiss/Taurus,2020
87,88,Daphne Technology SA,St-Sulpice VD,Cleantech,Climate tech comp reducing toxic pollutants & GHG emissions,https://www.top100startups.swiss/Daphne,2020
88,89,Anaveon AG,Basel,Biotech,Immunotherapies for cancer,https://www.top100startups.swiss/Anaveon,2020
89,90,hemotune AG,Schlieren,Medtech,Magnetic Blood Purification,https://www.top100startups.swiss/hemotune,2020
90,91,Imverse SA,Morges,ICT,3D Holograms: real-time volumetric video for telepresence,https://www.top100startups.swiss/Imverse,2020
91,92,GRZ Technologies AG,Grolley,Cleantech,Metal hydride hydrogen storage solution,https://www.top100startups.swiss/GRZ,2020
92,93,holo one AG,Lenzburg,ICT,The Augmented Reality Standard for Enterprises,https://www.top100startups.swiss/holo,2020
93,94,Seervision AG,Zurich,Engineering,We make any camera autonomous,https://www.top100startups.swiss/Seervision,2020
94,95,SONECT AG,Zürich,Fintech,"Through Sonect, every store becomes an ATM",https://www.top100startups.swiss/SONECT,2020
95,96,ASPIVIX SA,Renens,Medtech,Modern Gynecological Products for Women's Health,https://www.top100startups.swiss/ASPIVIX,2020
96,97,MyCamper AG,Basel,ICT,Sharing platform for campers,https://www.top100startups.swiss/myCamper,2020
97,98,DePoly SA,Sion,Cleantech,Closing the loop on PET plastic recycling,https://www.top100startups.swiss/DePoly,2020
98,99,advaisor AG,Zürich,ICT,We make corporate culture measurable,https://www.top100startups.swiss/advAIsor,2020
99,100,Anapaya Systems AG,Zurich,Security,Securing and Optimizing Internet Communication,https://www.top100startups.swiss/Anapaya,2020
