,name,category_1,category_2,category_3,category_4,category_5,category_6,category_7,category_8,category_9,category_10,category_11,category_12,category_13,category_14,category_15,category_16,category_17,category_18,category_19,category_20,category_21,incorporated,long description,company_website,link
10,Arktis Radiation Detectors Ltd,Engineering,Materials,Mechanics,,,,,,,,,,,,,,,,,,,June 2006,"In only four years, the Arktis team has refined its highly reliable devices for detecting radioactive substances to the point where its mature enough for a market launch, which is imminent. Further, the technology is currently being evaluated by public authorities in both Europe and the US.www.arktis-detectors.com",http://www.arktis-detectors.com,https://www.top100startups.swiss/index.cfm?CFID=72313628&CFTOKEN=b25424f255d2862f-57043D28-C7D9-9B77-739FB33ACE36FC5F&page=136348&profil_id=816
11,Yokoy Group AG,Fintech,Finance,Fintech,Machine Learning / AI,SaaS,Software,,,,,,,,,,,,,,,,March 2019,"The Swiss FinTech company Yokoy (formerly: Expense Robot) uses artificial intelligence to automate the entire corporate spend and corporate credit card process. Founded in 2019 by five founders to simplify expense management, Yokoy already has over 500 customers, including companies such as Stadler Rail, On Running, Bobst, Zühlke and BDO. In October 2020, the acquisition of the competitor product FlowExpense was added, which gave additional momentum to the growth. At the end of November of the same year, Yokoy started its expansion into the DACH market with the opening of an office in Vienna. In June 2021, Yokoy expanded its software offering, making the step from an expense tool to a comprehensive automation of the entire spend management and expanded further with an office in Munich.",https://www.yokoy.ai,https://www.top100startups.swiss/yokoy
12,Planted Foods AG,Foodtech,Consumer products,Biotech,Hightech,Food,,,,,,,,,,,,,,,,,July 2019,"Planted produces delicious meat from alternative proteins, focusing on the perfect bite. Inspired by nature, the company pioneers a novel biostructuring approach that combines protein structuring and biotechnology. Using various proprietary technologies, Planted designs and structures alternative proteins in any size, shape, and fibrous texture and is convinced that biostructured proteins will outperform animal meat in the future in terms of taste, sustainability, health, efficiency and price. Planted is committed to using only clean and natural ingredients and no additives in all its products - making it a healthy and sustainable option for all. Truly better than animal meat. Planted produces all its products under a glass-house production facility in Kemptthal, Switzerland.",https://www.eatplanted.com,https://www.top100startups.swiss/Planted
13,Ledgy AG,Fintech,Applications,Cloud,Enterprise,Fintech,,,,,,,,,,,,,,,,,July 2017,"Ledgy is an equity management platform that helps high-growth companies manage their cap table, employee participation plans, funding rounds, and investor relations.Ledgy is used by leading companies such as Raisin, wefox, Frontify, Codility, Utopia, and many more to democratize startup equity by turning more than 6,000 employees into owners.",https://www.ledgy.com,https://www.top100startups.swiss/Ledgy
14,CUTISS AG,Biotech,Biotech,Organ and Tissues,,,,,,,,,,,,,,,,,,,March 2017,"CUTISS grows human skin in the lab for patients that suffer from skin defects (e.g. burns). CUTISS bio-engineers individually customized human skin starting off from a very small piece of patient’s skin. Because CUTISS’ skin closely resembles human skin, minimal scarring occurs after surgery.",http://www.cutiss.swiss,https://www.top100startups.swiss/CUTISS
15,CREAL SA,Engineering,Consumer products,AR/VR/MR,Communications,Education,Electronics,Hightech,Interdisciplinary,Micro technologies,Nano technologies,Optics,"OEM, Production",Mobile,Wearable technologies,,,,,,,,November 2017,"Today's Virtual and Augmented Reality goggles cause an unpleasant eye-strain as they provide 3D images with conflicting depth cues: two eyes see the depth, but each eye sees a flat image in a fixed distance. The resulting discomfort holds back the entire Virtual and Augmented Reality market. Our technology, using the so called light-field, creates genuine 3D images with correct ""one-eye"" depth cues allowing an eye to change focus naturally. We develop and market disruptive display technology to hardware producers as one of key missing links to Virtual and Augmented Reality markets.",https://www.creal.com/,https://www.top100startups.swiss/CREAL
16,9T Labs AG,Engineering,3D Printing,Automotive,Aviation and Aerospace,Energy efficiency,Energy production,Energy transportation,Drones,Materials,Hightech,Mechanics,Hardware,Robotics,Sport,,,,,,,,January 2018,"Carbon Fiber Parts for the MassesFounded in 2018, 9T Labs enables series production of high-strength and light-weight composite parts through its proprietary Additive Fusion"" technology. With this new process, structural carbon fiber parts can be as accessible as metal to series production. To unlock the potential for customers, 9T Labs offers an all-in-one solution ready to be integrated in the production line of innovative companies. Now companies can design and produce previously impossible products that are stronger and lighter than metals.",http://www.9tlabs.com,https://www.top100startups.swiss/9T
17,Carvolution AG,ICT,Automotive,Mobility,Services for companies,Services for consumers,Tackle COVID-19,,,,,,,,,,,,,,,,March 2018,"At Carvolution we re-imagine the rules of having a car. As Switzerland's pioneer in car  subscription we offer you a simple, flexible and affordable alternative to buying and leasing a car. Customers choose their own new car from over 70 models of various brands and decide for themselves how long they want to drive it. With a Carvolution car, there is no need for additional comprehensive insurance, taxes, tyres or anything else, because the monthly fixed price of Carvolution already includes everything except refuelling or charging. And when it's just not for you anymore? Just switch or cancel, it’s that easy. In short: You pay a fixed monthly price for your own car, often save a lot of money and can choose the duration of the subscription flexibly - it's that simple.",https://www.carvolution.com,https://www.top100startups.swiss/Carvolution
18,HAYA Therapeutics SA,Biotech,Biotech,Cardiovascular,Drug discovery,Organ and Tissues,,,,,,,,,,,,,,,,,July 2019,"HAYA Therapeutics is dedicated to treating heart failure through the discovery and development of innovative first-in-class RNA-based therapeutics, with a specific focus on long noncoding RNAs.",https://www.hayatx.com,https://www.top100startups.swiss/HAYA
19,Bloom Biorenewables SA,Cleantech,Air and Environment,Cleantech,Biomaterials,Biotech,Chemicals,Materials,Renewable energy,,,,,,,,,,,,,,February 2020,"Bloom offers a sustainable alternative to replace petroleum in current products. With Bloom, customers can match the growing demand for nature-based products as well as make a big step towards meeting their sustainability goals. Bloom also offers innovative products to meet emerging market needs, such as new scents, nutraceuticals or biodegradable bio-plastics. Inspired by nature, the company is a leader in the development of plant-based solutions that helps customers saving 30% of CO2 emissions. This replacement comes without a compromise on performance or price, since the efficiency and selectivity of the Bloom process allows for cost-competitive and high-performing materials.",http://www.bloombiorenewables.com,https://www.top100startups.swiss/Bloom
20,Daphne Technology SA,Cleantech,AgriTech,Air and Environment,Cleantech,Chemicals,Energy transportation,Materials,Machine Learning / AI,Research and development,Services for companies,,,,,,,,,,,,December 2017,"Daphne Technology is a Climate Deep Tech company focused on solving the Greenhouse Gas challenge in tough-to-decarbonise industries. The company measures and reduces GHG emissions from industrial sources by developing and scaling up innovative technology. Daphne's high-tech, innovative approach has attracted global industrial leaders. Shell Ventures, Saudi Aramco Energy Ventures, Trafigura, AET and Swisscom recently invested in the company, all committed to working with Daphne to enable an economically sustainable energy transition.  Daphne has received multiple awards and recognitions, including the Horizon 2020 EU grant, Swiss Ministry of Environment Award, VentureKick 2020, Climate-KIC 2020, top Swiss Clean Tech, Top 100 Swiss Start-up four times, and the Ocean Solutions Award 2022.",https://www.daphnetechnology.com,https://www.top100startups.swiss/Daphne
21,ClearSpace SA,Cleantech,Cleantech,Aviation and Aerospace,Hightech,Machine Learning / AI,Robotics,,,,,,,,,,,,,,,,January 2018,ClearSpace is developing the technologies and triple A type services (TCS/ADAC) for space to extend the life of satellites or remove failed satellites in orbit. ClearSpace's technologies and capabilities branch in many other domains.ClearSpace has been selected in a competitive tender as prime to lead the first deorbiting mission by the European Space Agency.,https://www.clearspace.today,https://www.top100startups.swiss/ClearSpace
22,Resistell AG,Medtech,Hightech,Diagnostics,Micro technologies,Healthcare infrastructure,Infection,Nano technologies,Medical devices,Medtech,,,,,,,,,,,,,April 2018,"Resistell is a clinical stage company with its own testing device, Phenotech AST, based on first in class nanomotion technology platform. The first clinical study for bacteremia and sepsis is running in the University Hospital in Lausanne (CHUV). The clinical data for the first 100 patients shows a massive impact on time to result and over 97% accuracy with the gold standard. A second multi-site study with three European hospitals will start in Q4 2022. We currently have active collaborations with top 10 pharma companies and partnerships with leading university hospitals and academic institutions. Phenotech R&D, CE certified research device, for exploring new applications in life science is now ready to market.",https://www.resistell.com,https://www.top100startups.swiss/Resistell
23,aktiia SA,Medtech,Cardiovascular,Medical devices,Medtech,,,,,,,,,,,,,,,,,,May 2018,"Aktiia was founded in Switzerland in May 2018 out of a passion to create the best tool for diagnosis and treatment of hypertension. Aktiia’s founders, Mattia Bertschi (CEO) and Josep Solà (CTO), previously contributed to research and development at CSEM, a prestigious Swiss research institute. For 15 years they worked day in and day out to understand the language of our heart signals and decode key markers to gain better insight into blood pressure. They built an incredible team of 14 employees and founded Aktiia to turn their years of pioneering work into a useful tool for people around the globe. Aktiia’s technology combines common optical sensors and proprietary clinically tested algorithms to measure blood pressure at the wrist.",https://www.aktiia.com,https://www.top100startups.swiss/aktiia
24,TOLREMO therapeutics AG,Biotech,Biotech,Cancer,Drug development platforms,Drug discovery,Screening,Small molecule drugs,,,,,,,,,,,,,,,March 2017,"There is a high unmet need for durable therapeutic options for cancer patients. Although cancer drugs relief patients from their tumor burden, they oftentimes lose their effectiveness over time. TOLREMO develops novel small molecules that eradicate drug resistant cancer cells right at the start of a therapy. TOLREMO’s resistance-breaking add-on therapies can be combined with existing cancer drugs, to meaningfully extend the lives of patients suffering from different types of cancer. MAKING CANCER A MINOR MATTER",https://www.tolremo.com,https://www.top100startups.swiss/TOLREMO
25,Volumina Medical SA,Medtech,Biomaterials,Medical devices,Medtech,,,,,,,,,,,,,,,,,,January 2018,"Volumina is active in the field of tissue engineering and develops injectable 3D scaffolds for the reconstruction of volumes of soft tissues (fat, muscles, glandular tissues, supporting and connective tissues) that have been lost after tumor ablation, disease, trauma, or for purely esthetically purposes. It addresses the need of patients wanting to regain durably their physical and functional integrity, as well as the need of plastic and reconstructive surgeons missing a safe and efficient solution to repair the body in 3D. Our first product is addressing the need of breast reconstruction where strenuous and repeated surgeries are currently performed. It represents a total market of 3 billion CHF.",https://www.volumina-medical.ch,https://www.top100startups.swiss/Volumina
26,Neural Concept SA,ICT,Automotive,Aviation and Aerospace,Big Data,Cloud,Hightech,Enterprise,Mechanics,Machine Learning / AI,SaaS,Services for companies,Software,,,,,,,,,,June 2018,"Numerical simulations have become of primary importance for the industry over the last decades. Neural Concept aims to transform the way engineers collaborate with computers by introducing the power of AI into the development process. Neural Concept developed an AI algorithmic software that helps engineers speed up R&D cycles, reduce computational costs and automatically optimize designs. Our approach is based on our Mesh Convolutional Neural Nets, and is the first DL system that has a notion of shape and learns how it interacts with the laws of physics. We are implementing this technology in a software for automatic shape optimization and generative design. Neural Concept allows to drastically cut development times while providing optimal design choices under rationally defined criteria.",https://www.neuralconcept.com,https://www.top100startups.swiss/Neural
27,inyova AG,Fintech,Finance,Fintech,Machine Learning / AI,,,,,,,,,,,,,,,,,,July 2017,"Inyova is the leading digital platform for investing with a sustainability impact. Inyova customers invest directly into companies that help to solve global problems, eg by fighting climate change or by promoting human rights. All investments are professionally diversified portfolios that are designed for an attractive financial return. With Inyova you get both: Sustainability impact and financial return. To make this possible, we’ve digitized the best methods in portfolio management and sustainability analysis. So now everyone can become an impact investor: regardless of whether you invest 2 Million Francs or 2 Thousand - or whether you know nothing about investing or a lot.",https://www.inyova.ch,https://www.top100startups.swiss/Inyova
28,dq technologies AG (Decentriq),Security,Big Data,Machine Learning / AI,Open source,SaaS,Security,Software,,,,,,,,,,,,,,,August 2019,"Decentriq is an enterprise SaaS platform providing data clean rooms - allowing users to leverage data previously not possible.Easily and securely collaborate with stakeholders, internal or external, to derive new data value - all with guaranteed trust and privacy because of Decentriq's underlying encryption-in-use technology called confidential computing.Decentriq is also a founding member of the Confidential Computing Consortium - including Microsoft, Google, Facebook, Intel and Ant Group.",https://www.decentriq.com,https://www.top100startups.swiss/Decentriq
29,Araris Biotech AG,Biotech,Antibodies,Biotech,Cancer,Drug discovery,,,,,,,,,,,,,,,,,January 2019,"Araris Biotech AG is a spin-off company from the Paul Scherrer Institute (PSI) and ETH Zurich focusing on the commercialization of a novel antibody-drug conjugate (ADC)-linker technology. Araris' innovative platform allows for the attachment of any payload to ""off the shelf"" antibodies without the need of prior antibody engineering in one-step. The resulting ADCs have a well-defined drug-to-antibody ratio, are stable and monomeric. All these favorable properties contribute to the high efficacy, stability and low level of toxicity observed so far. In summary, the straightforward drug conjugation, versatility of the technology and high in vivo efficacy enable the generation of ADC compounds for the treatment of patients with a high unmet medical need.",https://www.ararisbiotech.com,https://www.top100startups.swiss/Araris
30,Sygnum Bank AG,Fintech,,,,,,,,,,,,,,,,,,,,,May 2018,"Sygnum is the world's first digital asset bank, and a digital asset specialist with global reach. With Sygnum Bank AG's Swiss banking licence, as well as Sygnum Pte Ltd's capital markets services (CMS) licence in Singapore, Sygnum empowers institutional and private qualified investors, corporates, banks and other financial institutions to invest in the digital asset economy with complete trust.Sygnum operates an independently controlled, scalable and future-proof regulated banking platform. Sygnum's interdisciplinary team of banking, investment and Distributed Ledger Technology (DLT) experts is shaping the development of a trusted digital asset ecosystem. The company is founded on Swiss and Singapore heritage, and operates globally.",https://www.sygnum.com,https://www.top100startups.swiss/Sygnum
31,AgroSustain SA,Foodtech,AgriTech,Cleantech,Food,,,,,,,,,,,,,,,,,,May 2018,"AgroSustain, a Swiss-based startup, a spin-off from the University of Lausanne, founded in May 2018 by Olga and Sylvain Dubey. AgroSustain develops highly effective, natural fungicides and coatings to protect fruits and vegetables from farm to fork. The products of AgroSustain will be applied primarily after the harvest in packing facilities at the producer or at the distribution during storage. At the later stages, we intend to provide a line of biological crop protection products for direct application in the field. AgroSustain aims to sell its product directly in selected geographies, e.g., Switzerland and EUor, through well-established distributors on the AgriTech markets for the other geographies.",https://www.agrosustain.ch,https://www.top100startups.swiss/AgroSustain
32,Archlet AG,ICT,Big Data,Tackle COVID-19,,,,,,,,,,,,,,,,,,,May 2019,"Founded by ETH Zürich alumni Jakob Manz, Lukas Wawrla and Tim Grunow, Archlet is a SaaS company offering cloud-based sourcing solutions to large enterprise clients and SMEs. Powered by advanced analytics and data science, Archlet scans through all available supplier offers, quickly identifies the optimal sourcing strategy and proactively supports buyers with data-backed negotiations. Since it's foundation, Archlet has optimized several CHF billion in spend with international companies, such as Amcor, Deutsche Bahn, Hasler Rail and French-based automotive supplier Tesca Group. In average, Archlet was able to achieve financial savings by 5-15% and massively increased transparency of decision making in Strategic Sourcing. Karin Hagen-Gierer, ex-CPO Sanofi, recently joined the BoD.",https://www.archlet.io,https://www.top100startups.swiss/Archlet
33,neon Switzerland AG,Fintech,Finance,Fintech,,,,,,,,,,,,,,,,,,,August 2017,"neon's account, app & card: Receive, transfer or put money aside - everything you need.  Your private account for everyday banking and traveling. Check your balance or pay a bill while you wait for the bus - neon is always at your fingertips. Don't think twice about which card to use. Withdraw money at any ATM, shop online or in stores worldwide and pay less for more - with your neon Mastercard. neon has been awarded several times as test winner, among others as the cheapest credit card abroad by Kassensturz or as number one «bank» in Switzerland by Forbes (note: we still don’t have our own banking license.)",https://www.neon-free.ch,https://www.top100startups.swiss/Neon
34,Nanoleq AG,Engineering,Consumer products,Digital Health,Sensors,Patient monitoring,Wearable technologies,,,,,,,,,,,,,,,,May 2017,"Nanoleq is a Spinoff of ETH Zurich committed to enabling the next generation of health-monitoring textiles. We combine know-how about innovative soft electronic materials, biosignal acquisition and textile engineering to enable a seamless integration of electronic functionality into garments. Our soft sensors allow you to record your heartbeat, your electrocardiogram or even monitor your breathing and other vital signs based on simple, washable and comfortable garments.Further textile sensors are in development – our ambition is to set the standard of health-monitoring textiles and to enable its rapid development and widespread use. Nanoleq is a TOP 100 Swiss Startup and alumnus of Venture Leaders Technology.",http://www.nanoleq.com,https://www.top100startups.swiss/Nanoleq
35,Unique AG,ICT,Machine Learning / AI,,,,,,,,,,,,,,,,,,,,July 2021,Unique's AI-powered sales platform records and analyzes your customer conversations in real-time to generate useful insights that will help you win more deals and build reliable revenue forecasts.??,https://www.unique.ch,https://www.top100startups.swiss/Unique
36,Voliro AG,Robotics,Aviation and Aerospace,Electronics,Mechanics,Robotics,,,,,,,,,,,,,,,,,November 2019,"Voliro is developing advanced flying robots to perform Inspection and Maintenance tasks more safely, cost-effectively and faster than traditional methods. Voliro aims to provide innovative UAVs with unique capabilities. We promote the concept of omnidirectional aerial vehicles, where position and orientation of the flying platform are completely independent. This ability is crucial to achieve robust and reliable interaction with the environment.With its tiltable rotor system, Voliro expands the abilities of service drones from fly and see to fly, see and touch. The flying robot can be equipped with a variety of payloads, such as Non-Destructive Testing (NDT) sensors. The unique 360° drone design of the platform allows inspection of curved and sloped surfaces.",https://www.voliro.com,https://www.top100startups.swiss/Voliro
37,IMburse AG,Fintech,Applications,Cloud,Enterprise,SaaS,Software,,,,,,,,,,,,,,,,February 2018,"Imburse is a cloud-based middleware connecting large enterprises to the payments ecosystem, regardless of their existing IT infrastructure. Through a single connection to Imburse, enterprises can collect or pay-out using a variety of payment technologies and providers around the globe. In a world where consumers’ payment preferences and technologies are ever-evolving, Imburse works with insurers to future-proof their payment requirements. Regardless of the business area, market, or requirements, Imburse will connect you to your choice of technology and provider.",https://www.imbursepayments.com,https://www.top100startups.swiss/IMburse
38,DePoly SA,Cleantech,Air and Environment,Cleantech,Services for companies,,,,,,,,,,,,,,,,,,February 2020,"Every year 56 M tonnes of PET plastic is produced, but only 9% is recycled. This is largely due to the fact that for PET plastic to be recycled it needs to be clean, sorted, and can't be mixed with other plastics. As a chemical recycling company DePoly SA is tackling the plastic problem via its enhanced recycling technology that converts post-consumer PET plastic back to its main raw components, at room temperature, without any additional heat or pressure. The raw material can then be sold back to industry, so that new virgin quality PET plastic items can be made, creating a truly circular plastic economy.",https://www.depoly.co,https://www.top100startups.swiss/DePoly
39,EraCal Therapeutics AG,Biotech,Biotech,Drug development platforms,Drug discovery,Small molecule drugs,,,,,,,,,,,,,,,,,October 2018,"Excess weight and obesity are among the most widespread health risks globally. EraCal fights it: the University of Zurich and Harvard University spin-off, founded in 2018, develops a novel drug candidate Era-379 to reduce appetite. Reducing appetite facilitates blood sugar and lipid control, reduces body weight and liver fat content, and facilitates healthy aging thereby EraCal pioneers the next generation of cardiometabolic therapies.",https://www.eracal.ch,https://www.top100startups.swiss/EraCal
40,Anaveon AG,Biotech,Biotech,Drug discovery,,,,,,,,,,,,,,,,,,,December 2017,We are developing IL-2 complexes which selectively promote effector T cell functions. Our compounds act as effective immune adjuvants with a broad therapeutic window and marked preclinical efficacy against cancer either as monotherapy or in combination with other therapies.,https://www.anaveon.com,https://www.top100startups.swiss/Anaveon
41,Skribble AG,ICT,Blockchain,Cloud,Internet,Legal services,SaaS,Tackle COVID-19,Software,,,,,,,,,,,,,,March 2018,"Skribble allows companies to sign any document online with just a few clicks – legally binding according to Swiss and EU law. Agreements no longer need to take the detour via printer and paper to be legally signed: Skribble is a one-stop shop for electronic signatures that makes signature processes 100% digital. This makes contract handling not only easier and faster, but also independent of the employees' place of work. Skribble provides the legally suitable e-signature for every type of contract, even if the same legal weight as a handwritten signature is required.  Legal and technical security does not come at the expense of simplicity: Skribble can be used organisation-wide without IT integration. A company can enable its entire staff to sign electronically in a very short time.",https://www.skribble.com,https://www.top100startups.swiss/Skribble
42,Tinamu Labs AG,Robotics,Drones,Robotics,Services for companies,Software,,,,,,,,,,,,,,,,,December 2018,"Today, asset owners need specialized inspection companies to inspect their physical assets. Tinamu Labs offers an online platform for automated drone based monitoring. We use drones as flying sensors to capture the data fully automated. The drones use Computer vision and Artificial Intelligence to fly and navigate fully in buildings. After our CHF 2.5M Seed Round we delivered four fully paid functional prototypes.Our Customers pay us a monthly fee for the data access.  Tinamu has currently 12 FTE's and is a perfect mix of technology, entrepreneurship, science, and marketing.",http://www.tinamu-labs.com,https://www.top100startups.swiss/Tinamu
43,Bright Peak Therapeutics AG,Biotech,,,,,,,,,,,,,,,,,,,,,December 2017,Bright Peak is developing next-generation engineered cytokines for immuno-oncology indications.,https://www.brightpeaktx.com,https://www.top100startups.swiss/BrightPeak
